model_id,gpus,gpu (GB),model (GB),tp recommend
openbmb/MiniCPM-2B-sft-bf16,3,191.984375,5.641349792480469,1
openbmb/MiniCPM-2B-dpo-bf16,3,191.984375,5.641349792480469,1
openbmb/MiniCPM-S-1B-sft,3,191.984375,2.7945539951324463,1
openbmb/MiniCPM3-4B,3,191.984375,8.180602014064789,1
mistralai/Mistral-7B-v0.1,3,191.984375,13.244640350341797,1
mistralai/Mistral-7B-Instruct-v0.1,3,191.984375,13.244640350341797,1
mistralai/Mixtral-8x7B-v0.1,3,191.984375,13.244640350341797,check out dependancy
mistralai/Mixtral-8x7B-Instruct-v0.1,3,191.984375,87.2465934753418,1
mistral-community/Mixtral-8x22B-v0.1,3,191.984375,263.31013774871826,2
mosaicml/mpt-7b,3,191.984375,12.385261535644531,1
mosaicml/mpt-7b-storywriter,3,191.984375,12.385261535644531,1
mosaicml/mpt-30b,3,191.984375,55.79963493347168,1
nvidia/Minitron-8B-Base,3,191.984375,13.454116880893707,1
allenai/OLMo-1B-hf,3,191.984375,2.191896438598633,1
allenai/OLMo-7B-hf,3,191.984375,12.446292877197266,1
allenai/OLMo2-7B-1124,3,191.984375,12.446292877197266,check out dependancy
allenai/OLMoE-1B-7B-0924,3,191.984375,12.696048855781555,1
allenai/OLMoE-1B-7B-0924-Instruct,3,191.984375,12.696048855781555,1
facebook/opt-66b,3,191.984375,122.41248321533203,1
facebook/opt-iml-max-30b,3,191.984375,55.831932067871094,1
OrionStarAI/Orion-14B-Base,3,191.984375,55.831932067871094,check out dependancy
OrionStarAI/Orion-14B-Chat,3,191.984375,27.08406925201416,1
microsoft/phi-1_5,3,191.984375,2.446327954530716,1
microsoft/phi-2,3,191.984375,4.933329612016678,1
microsoft/Phi-3-mini-4k-instruct,3,191.984375,7.117315292358398,1
microsoft/Phi-3-mini-128k-instruct,3,191.984375,7.117315292358398,1
microsoft/Phi-3-medium-128k-instruct,3,191.984375,26.00296974182129,1
microsoft/Phi-3-small-8k-instruct,3,191.984375,14.659814953804016,1
microsoft/Phi-3-small-128k-instruct,3,191.984375,14.542631268501282,1
microsoft/Phi-3.5-MoE-instruct,3,191.984375,77.99482595920563,1
adept/persimmon-8b-base,3,191.984375,15.503604084253311,1
adept/persimmon-8b-chat,3,191.984375,15.503604084253311,1
Qwen/Qwen-7B,3,191.984375,15.503604084253311,check out dependancy
Qwen/Qwen-7B-Chat,3,191.984375,15.503604084253311,check out dependancy
Qwen/QwQ-32B-Preview,3,191.984375,59.577287793159485,1
Qwen/Qwen2-7B-Instruct,3,191.984375,13.170057892799377,1
Qwen/Qwen2-7B,3,191.984375,13.170057892799377,1
Qwen/Qwen1.5-MoE-A2.7B,3,191.984375,26.085639119148254,1
Qwen/Qwen1.5-MoE-A2.7B-Chat,3,191.984375,26.085639119148254,1
stabilityai/stablelm-3b-4e1t,3,191.984375,4.967051167041063,1
stabilityai/stablelm-base-alpha-7b-v2,3,191.984375,12.848160743713379,1
bigcode/starcoder2-3b,3,191.984375,5.6445101499557495,1
bigcode/starcoder2-7b,3,191.984375,13.362478375434875,1
bigcode/starcoder2-15b,3,191.984375,29.161389470100403,1
upstage/solar-pro-preview-instruct,3,191.984375,41.239030838012695,1
TeleAI/TeleChat2-3B,3,191.984375,41.239030838012695,check out dependancy
TeleAI/TeleChat2-7B,3,191.984375,41.239030838012695,check out dependancy
TeleAI/TeleChat2-35B,3,191.984375,41.239030838012695,check out dependancy
xverse/XVERSE-7B-Chat,3,191.984375,13.722026824951172,1
xverse/XVERSE-13B-Chat,3,191.984375,25.70737361907959,1
